text,final_label
Save Western Ghats from annihilation,False
Save Beacon Hill Park,False
Government of India: Don't Tax Medical Bills,False
NO FAILING @ UCR,False
WIAA - Let them play football!,False
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,False
Schedule Disneyland to reopen at a later date.,False
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,False
Cancel 12 th board exam,False
Close all CCPS schools to limit spread of Coronavirus,False
SAVE OUR FREEDOMS- No mandated mask-wearing,True
Appeal to the President of India on issues thrown up during lockdown,False
Waive off School Fee at Indian Schools in Oman due to COVID-19,False
Covid-19 Youth Brigades exploited,False
Protection from COVID-19,True
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,False
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",False
Close Holland and Barrett Stores. (Covid-19 Crisis),False
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,False
Petition for holidays in Colleges in concern of COVID-19,False
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,False
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",False
Duval County Beach Access (COVID-19),False
Save Local Flower Shops - Let Them Deliver On Mother's Day,False
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,False
Ticketmaster Refund Our Money Now! - COVID 19,False
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",False
Get British performers home from cruise ships #GetBenhome #Covid 19,False
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,True
#PostPoneJEEandNEET in COVID,False
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,False
Reverse Postponement of Winter & Spring Sports,False
#letthedjsplay,False
Pass all CSUDH Students for Spring 2020 with an A letter grade,False
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",False
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,False
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,False
Stop Australian Banks Charging Interest during Covid-19,False
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,False
Postpone UCLA Class of 2020 Commencement,False
NO IN SCHOOL EXAM COVID-19,True
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,False
TRUSD Must Condemn Anti-Asian and Racist Behavior,False
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,False
Shut Down PISD schools during Covid-19 Outbreak,False
Renew I Am Not Okay With This,False
Scotland Back in the EU,False
Government of Ghana Must Implement the National Health Laboratory Policy,False
Freeze Rent for All NYC Residents,False
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,False
Spring sports for International leadership of texas,False
Temporary online classes for HELP students due to covid-19,False
Dominos Employees Demand COVID-19 Hazard Pay,False
Make FUHSD Classes Accessible Online,False
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,False
Partial Refund of Fees for Curtin University Malaysia,False
ICE: Do not deport International Students,False
Free data for students,False
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,False
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,False
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",False
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,False
No detriment policy for UWE Bristol,False
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,False
Zero Percent Interest on Credit Cards during COVID19,False
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",False
Petition for Nirma University to take preventive action against COVID 19,False
Hazard Pay and Family Leave for Walgreens Employees,False
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",False
Make masks mandatory in South Carolina,True
Pay PetSmart Employees While on Leave,False
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",False
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,True
Allow college students to pass during the COVID-19 pandemic.,False
HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),False
Support Peoria Academy During The COVID-19 Crisis,False
Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,False
Suspend Online Classes or Refund Our Money,False
Keep kids in extra curricular activities in ND.,True
COVID-19 crisis -more Australian music to be played on Australian radio.,False
Extend financial package to cover losses of covid19 lockdown to small businessman also....,False
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,False
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,False
Make small grants/funding available for Self Employed & Freelancers during COVID-19,False
Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,False
Partial tuition refund due to the COVID-19 virus causing classes to go online,False
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,False
"Save Our Future Teachers - Support, & Share",False
Save Services for Those with Developmental Disabilities During Covid-19,False
PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,False
Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,False
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,False
Save Georgia Disability Services,False
Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,False
Safe Staffing during COVID at Emanate,True
Help International Students Stay at The University of Texas at Austin!,False
The Immediate Issue of Travel Documents for Sarah's children to come to Canada,False
Environmental Impact Assessment Notification 2020-Withdrawal,False
ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,False
Protect People in Long-Term Care,False
Please facilitate 14-days-self-quarantine of Iranian new immigrants,False
Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,False
Bring back McDonald's SNACK WRAPS!,False
Pay rise for frontline NHS staff tackling COVID-19,False
Allow Cigarettes and Tobaccos during COVID-19 lockdowns,False
Family pleads for compassionate visits in father's dying days,False
"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",False
Time to Save the New York YMCA Camp from Potential Sale,False
Supermarkets: Stop Selling Suffering!,False
Give Oregon Kids What They Need to Learn to Read!,False
Allow spa and leisure facilities to demonstrate that they can reopen safely.,False
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,False
Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,False
Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,False
Freeze rents & mortgages for the duration of Coronavirus,False
COVID-19: BE PROACTIVE NOT REACTIVE,False
Require Vaccination Options for WA Teachers & Students before returning to school.,False
Respiratory Therapists Deserve Hazard Pay,False
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,False
Support Louisiana Vote-By-Mail,False
Stop Evictions in Whittier - COVID-19,False
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,False
30% Pay Cut for Top 10 City Managers,False
Justice For Jamaicans Against the Jamaica Public Service (JPS),False
"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",False
Give NAIA Athletes Another Year of Eligibility,False
Support and clear guidance for the reopening of baby and toddler classes and groups.,False
"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",False
COVID and Poverty,False
Keep independent Texas restaurants alive during COVID-19,False
Allow Tattoo Shops in NV to reopen in Phase 2,False
